symbol,date,open,high,low,close,volume,count
SH000001,202201040000,768.8720,803.7480,767.4470,803.7480,302111788,2928518397
SH000001,202201050000,812.6810,821.8310,801.3640,807.3980,325422714,2998708877
SH000001,202201060000,808.7640,813.7890,799.7070,810.3280,290844194,2618283448
SH000001,202201070000,803.2060,807.8610,784.4820,784.6600,291957982,2541813353
SH000001,202201100000,773.6440,791.3070,763.9390,787.7660,197200491,1822280421
SH000001,202201110000,791.5800,798.7170,782.6950,783.8840,209899802,1800021588
SH000001,202201120000,783.2790,821.5280,779.3430,816.0840,374148911,3292714614
SH000001,202201130000,819.5210,829.0080,811.6360,820.4510,298411526,2535822938
SH000001,202201140000,812.7000,823.8740,793.2970,794.1870,267228349,2361107503
SH000001,202201170000,797.2220,803.0060,786.7960,803.0060,210100836,1797957710
SH000001,202201180000,803.1510,808.9500,784.4550,787.6980,214776688,1882262813
SH000001,202201190000,787.1890,819.2900,787.1890,815.7860,259025699,2353066598
SH000001,202201200000,814.0620,823.3490,804.1580,805.9140,244199464,2347480570
SH000001,202201210000,844.9150,847.6560,824.8820,826.4260,476547508,4572652920
SH000001,202201240000,823.3990,857.4940,799.4210,838.6390,461031824,4292351229
SH000001,202201250000,822.5870,865.8670,818.7990,838.6680,512612495,4678071419
SH000001,202201260000,838.0920,843.6470,807.7380,812.1350,400843676,3797967252
SH000001,202201270000,793.1050,793.1050,759.6080,759.6080,279944671,2408461587
SH000001,202201280000,756.0840,816.8190,756.0840,801.9860,400400087,3614983471
SH000001,202202070000,793.5800,811.8390,772.4670,804.9270,394805829,3588844824
SH000001,202202080000,806.5070,864.2200,806.5070,850.8830,519157798,4963730330
SH000001,202202090000,847.1650,868.3430,844.4010,860.4210,478082326,4863646093
SH000001,202202100000,852.0240,912.5340,852.0240,903.0480,631245512,6720220390
SH000001,202202110000,893.8420,940.2920,887.0190,898.1090,691750188,7556617481
SH000001,202202140000,910.0340,964.9560,894.7210,928.8060,696388260,7568349234
SH000001,202202150000,878.2860,887.3690,863.9340,876.0230,544448799,5810629637
SH000001,202202160000,875.6090,892.7940,866.9720,889.0530,520611759,5435533144
SH000001,202202170000,863.7880,868.0050,848.2280,853.3560,474249813,4928471562
SH000001,202202180000,845.4780,870.0080,845.4780,859.2940,303731614,3157413533
SH000001,202202210000,847.4760,868.3910,845.7860,866.4350,291916143,3020499696
SH000001,202202220000,855.4180,871.3100,833.0210,847.3890,347293696,3422934451
SH000001,202202230000,846.8940,856.1740,836.7090,839.5460,272606806,2753842195
SH000001,202202240000,827.0470,850.0450,794.0690,809.8330,399662030,3886233204
SH000001,202202250000,817.0430,822.7070,807.0640,812.7260,214033088,2122156602
SH000001,202202280000,802.4170,804.7610,784.2810,803.9030,199696782,1935596314
SH000001,202203010000,804.4240,834.9600,804.4240,834.9600,319216842,3016488367
SH000001,202203020000,830.7140,839.6560,822.9450,827.6450,230691383,2350923374
SH000001,202203030000,835.1600,867.9680,835.1600,853.8310,426698724,4515591904
SH000001,202203040000,848.5440,858.2050,841.5920,850.4440,288214506,2925453817
SH000001,202203070000,829.7400,837.3940,809.3710,813.8390,300079930,3072132643
SH000001,202203080000,814.7210,835.7290,794.6800,801.1100,330157233,3396266784
SH000001,202203090000,807.2880,827.0330,782.9670,813.8890,378174733,3793671351
SH000001,202203100000,818.7380,837.1360,810.2490,810.2490,331414194,3284627919
SH000001,202203110000,791.5120,825.5120,773.8280,822.2980,391966449,3655358184
SH000001,202203140000,801.2400,806.6740,775.9330,775.9330,319073222,3058085231
SH000001,202203150000,772.8040,795.0790,747.0220,747.0220,326310842,3076687680
SH000001,202203160000,787.8150,817.3490,781.9210,816.3480,399251193,3827251087
SH000001,202203170000,827.1380,847.3600,823.0990,827.5660,588826977,5833498840
SH000001,202203180000,833.1670,866.5330,833.1670,857.3710,555726788,5666454122
SH000001,202203210000,848.6670,882.2530,845.8460,879.9210,497450073,5258390850
SH000001,202203220000,869.4410,877.9280,851.3300,855.9670,419544848,4615632496
SH000001,202203230000,855.4750,866.2620,845.3880,849.7960,354127191,3724413488
SH000001,202203240000,845.7960,856.1210,828.4450,835.7640,292718815,3022112200
SH000001,202203250000,827.9590,853.4960,821.2300,839.2300,334477613,3415196345
SH000001,202203280000,824.6550,872.6290,824.6550,855.3100,499181137,4956713737
SH000001,202203290000,855.4290,884.2830,850.5680,857.9330,558516143,5683665368
SH000001,202203300000,857.0580,874.8450,843.8370,872.6320,550390991,5547703819
SH000001,202203310000,866.6600,875.0160,848.1900,857.6540,735944071,7300563424
SH000001,202204010000,857.6420,893.0990,857.6420,889.5540,964916641,9698103596
SH000001,202204060000,880.7300,910.9910,876.2770,904.8650,861665674,8982994354
