symbol,date,open,high,low,close,volume
SZ000001,19920102,29.15,29.40,29.00,29.15,188600
SZ000001,19920103,29.20,29.30,29.00,29.10,221200
SZ000001,19920106,29.10,29.80,29.05,29.70,263400
SZ000001,19920107,29.70,30.20,29.55,29.90,293100
SZ000001,19920108,29.80,30.20,29.55,29.65,192800
SZ000001,19920109,29.70,29.80,29.30,29.70,153500
SZ000001,19920110,29.65,29.80,29.50,29.80,152500
SZ000001,19920113,29.80,29.80,29.60,29.65,135300
SZ000001,19920114,29.65,29.65,29.00,29.20,171100
SZ000001,19920115,29.20,29.40,29.00,29.10,220500
SZ000001,19920116,29.00,29.00,28.55,28.90,126800
SZ000001,19920117,28.90,28.90,28.35,28.80,114300
SZ000001,19920120,28.80,29.50,28.80,29.45,108500
SZ000001,19920121,29.50,29.80,29.20,29.30,157600
SZ000001,19920122,29.25,29.30,28.80,28.95,159200
SZ000001,19920123,28.95,29.30,28.95,29.20,147700
SZ000001,19920124,29.25,29.70,29.05,29.05,232700
SZ000001,19920127,29.55,29.60,29.30,29.40,257100
SZ000001,19920128,29.40,29.50,29.35,29.50,233600
SZ000001,19920129,29.50,30.05,29.50,30.00,212700
SZ000001,19920130,29.95,30.35,29.95,30.20,173500
SZ000001,19920201,31.15,32.00,31.15,32.00,222800
SZ000001,19920202,32.00,32.70,31.90,32.32,173500
SZ000001,19920210,32.30,32.50,30.90,31.60,164400
SZ000001,19920213,31.90,32.00,31.80,32.00,181200
SZ000001,19920214,32.00,32.10,31.80,31.80,192400
SZ000001,19920218,31.20,31.25,30.70,31.00,195500
SZ000001,19920219,31.00,31.20,30.20,31.05,194600
SZ000001,19920220,31.00,32.00,31.00,31.00,129600
SZ000001,19920221,31.80,31.90,31.60,31.65,171000
SZ000001,19920224,31.65,31.65,30.50,31.10,140500
SZ000001,19920225,31.20,31.20,30.80,30.95,123100
SZ000001,19920226,31.00,31.00,30.05,30.55,141900
SZ000001,19920227,30.70,31.00,30.50,31.00,203300
SZ000001,19920228,31.00,31.75,31.00,31.55,233500
SZ000001,19920302,31.70,32.00,31.60,31.70,313700
SZ000001,19920303,31.80,31.85,31.55,31.70,315000
SZ000001,19920304,31.80,31.90,31.55,31.75,228800
SZ000001,19920305,31.70,32.00,31.65,31.95,273300
SZ000001,19920309,32.25,32.90,32.25,32.40,351500
SZ000001,19920310,32.50,32.50,31.90,32.10,228400
SZ000001,19920311,32.00,32.20,32.00,32.15,273800
SZ000001,19920312,32.10,32.25,32.00,32.25,261500
SZ000001,19920313,32.30,32.30,32.15,32.30,317000
SZ000001,19920316,32.45,32.90,32.35,32.80,490100
SZ000001,19920317,32.90,33.00,32.80,32.85,310600
SZ000001,19920318,32.85,32.95,32.75,32.90,605900
SZ000001,19920319,32.90,32.90,32.60,32.60,228600
SZ000001,19920320,32.75,32.75,32.20,32.45,256300
SZ000001,19920323,21.50,22.05,21.05,21.90,486500
SZ000001,19920324,22.00,22.10,21.85,22.10,647600
SZ000001,19920325,22.10,23.30,22.00,23.15,665200
SZ000001,19920327,24.20,24.30,23.50,23.90,731300
SZ000001,19920330,23.90,25.20,23.80,24.90,777200
SZ000001,19920401,26.35,27.05,26.35,26.90,796500
SZ000001,19920402,26.90,27.10,26.00,26.05,654400
SZ000001,19920403,26.20,26.20,25.30,25.95,623300
SZ000001,19920406,26.10,27.70,26.10,27.50,645600
SZ000001,19920407,27.65,28.50,27.00,28.00,872500
SZ000001,19920408,28.15,29.90,28.15,28.95,1315300
SZ000001,19920409,29.00,29.60,28.40,29.20,910900
SZ000001,19920410,29.35,29.80,29.00,29.60,767700
SZ000001,19920413,29.75,33.80,29.75,32.95,740900
SZ000001,19920414,33.10,34.50,32.20,32.50,1053200
SZ000001,19920415,32.65,33.50,30.20,30.60,831100
SZ000001,19920416,30.75,33.00,30.75,32.85,917700
SZ000001,19920417,33.00,33.10,31.90,32.00,971400
SZ000001,19920420,32.15,32.50,31.00,31.55,599300
SZ000001,19920421,31.70,31.90,31.00,31.50,659700
SZ000001,19920422,31.65,33.10,31.50,32.80,627600
SZ000001,19920423,32.95,34.10,32.95,33.45,852300
SZ000001,19920424,33.50,34.30,33.50,34.00,898300
SZ000001,19920427,34.15,34.90,33.50,33.80,854600
SZ000001,19920428,33.95,34.50,33.50,34.50,962400
SZ000001,19920429,34.65,36.00,34.65,36.00,926600
SZ000001,19920430,36.15,38.70,36.15,38.50,806100
SZ000001,19920503,38.65,42.70,38.65,41.15,844900
SZ000001,19920504,41.30,43.80,40.90,43.60,1146200
SZ000001,19920505,43.45,47.60,43.45,46.95,1080500
SZ000001,19920506,47.10,48.55,45.50,46.00,899900
SZ000001,19920507,46.15,46.15,42.65,43.55,1015200
SZ000001,19920508,43.70,44.10,42.00,42.60,1072600
SZ000001,19920511,42.75,43.80,41.50,43.75,1039000
SZ000001,19920512,43.90,47.20,43.90,46.40,796900
SZ000001,19920513,46.55,47.50,46.20,46.30,848900
SZ000001,19920514,46.45,46.45,44.90,45.45,891200
SZ000001,19920515,45.60,46.20,44.95,45.35,862300
SZ000001,19920518,45.50,45.50,44.00,44.80,888300
SZ000001,19920519,44.95,46.55,44.70,46.45,1068100
SZ000001,19920520,46.60,47.65,45.00,45.10,966500
SZ000001,19920521,45.25,45.25,43.60,45.00,642600
SZ000001,19920522,45.15,45.25,44.20,44.40,618000
SZ000001,19920525,44.55,45.50,44.30,45.45,904600
SZ000001,19920526,45.60,46.60,45.60,46.50,840900
SZ000001,19920527,46.65,47.20,45.90,46.00,942400
SZ000001,19920528,46.00,46.00,45.00,45.45,708800
SZ000001,19920529,45.60,45.60,44.20,45.20,722100
SZ000001,19920601,45.35,46.60,45.35,45.95,925800
SZ000001,19920602,46.10,46.10,44.25,44.90,797600
SZ000001,19920603,45.05,45.05,42.00,42.15,531100
SZ000001,19920604,42.30,42.30,38.68,41.30,958000
SZ000001,19920605,41.45,42.80,41.40,41.90,970800
SZ000001,19920608,42.05,42.05,39.85,41.50,738200
SZ000001,19920609,41.65,41.65,39.50,39.85,477900
SZ000001,19920610,39.80,39.90,38.40,39.21,623700
SZ000001,19920611,39.05,39.20,38.50,38.80,487300
SZ000001,19920612,38.95,39.00,37.90,38.50,670000
SZ000001,19920616,36.15,36.20,33.25,33.60,767500
SZ000001,19920617,33.45,37.15,32.30,36.90,876100
SZ000001,19920618,36.75,38.30,35.90,36.30,1146400
SZ000001,19920619,36.45,36.50,35.00,36.20,667300
SZ000001,19920622,36.05,36.05,34.00,34.25,736500
SZ000001,19920623,34.35,35.80,33.80,35.20,617100
SZ000001,19920624,35.05,35.05,34.20,35.05,588500
SZ000001,19920625,35.15,36.00,35.00,36.00,480100
SZ000001,19920626,36.00,37.60,36.00,37.10,778900
SZ000001,19920629,37.25,40.00,37.25,39.80,989000
SZ000001,19920630,39.95,42.00,39.95,42.00,1047400
SZ000001,19920701,42.15,42.85,40.30,40.45,1246700
SZ000001,19920702,40.30,40.80,39.35,40.20,1230300
SZ000001,19920703,40.05,41.00,40.00,40.95,1005300
SZ000001,19920706,41.10,42.60,40.00,40.80,1251600
SZ000001,19920707,40.95,41.00,39.70,40.70,730500
SZ000001,19920708,40.85,41.00,40.30,40.80,447100
SZ000001,19920709,40.65,40.65,39.80,39.85,817100
SZ000001,19920710,39.80,39.80,39.10,39.60,707300
SZ000001,19920713,39.45,40.50,39.20,40.30,884400
SZ000001,19920714,40.45,41.20,40.45,40.95,731600
SZ000001,19920716,40.65,41.70,40.65,41.70,564300
SZ000001,19920717,41.85,42.40,41.80,42.30,957000
SZ000001,19920720,42.45,45.00,42.45,44.90,881200
SZ000001,19920721,45.00,45.50,44.40,44.60,1098100
SZ000001,19920722,44.50,44.80,44.00,44.65,978700
SZ000001,19920723,44.50,45.50,44.50,45.50,943800
SZ000001,19920724,45.35,46.00,45.20,45.85,1098300
SZ000001,19920729,45.75,46.20,45.40,45.90,700800
SZ000001,19920730,46.00,46.30,45.80,46.30,685600
SZ000001,19920731,46.45,46.50,45.60,45.60,562200
SZ000001,19920803,45.60,46.60,42.80,42.90,681600
SZ000001,19920804,42.75,44.70,42.00,44.20,855500
SZ000001,19920805,44.35,45.00,43.30,44.75,503000
SZ000001,19920806,44.60,44.60,43.70,44.10,405000
SZ000001,19920807,44.00,45.10,43.60,45.00,663600
SZ000001,19920810,45.15,46.50,45.15,46.20,460900
SZ000001,19920811,46.30,46.30,42.35,43.75,142000
SZ000001,19920812,43.90,44.80,43.80,43.90,920400
SZ000001,19920813,44.00,44.00,41.95,42.40,999800
SZ000001,19920814,42.25,43.80,41.65,43.70,1119300
SZ000001,19920817,43.85,45.35,43.85,44.00,1019400
SZ000001,19920818,44.00,44.00,42.95,43.30,741300
SZ000001,19920819,43.15,44.00,43.15,43.65,334700
SZ000001,19920820,43.50,44.00,43.40,43.75,431400
SZ000001,19920821,43.70,43.75,42.90,43.05,586000
SZ000001,19920824,42.90,42.90,41.80,42.40,462300
SZ000001,19920825,42.25,42.25,40.70,40.80,508100
