SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
SZ000001,19920102,2915,2940,2900,2915,188600
SZ000001,19920103,2920,2930,2900,2910,221200
SZ000001,19920106,2910,2980,2905,2970,263400
SZ000001,19920107,2970,3020,2955,2990,293100
SZ000001,19920108,2980,3020,2955,2965,192800
SZ000001,19920109,2970,2980,2930,2970,153500
SZ000001,19920110,2965,2980,2950,2980,152500
SZ000001,19920113,2980,2980,2960,2965,135300
SZ000001,19920114,2965,2965,2900,2920,171100
SZ000001,19920115,2920,2940,2900,2910,220500
SZ000001,19920116,2900,2900,2855,2890,126800
SZ000001,19920117,2890,2890,2835,2880,114300
SZ000001,19920120,2880,2950,2880,2945,108500
SZ000001,19920121,2950,2980,2920,2930,157600
SZ000001,19920122,2925,2930,2880,2895,159200
SZ000001,19920123,2895,2930,2895,2920,147700
SZ000001,19920124,2925,2970,2905,2905,232700
SZ000001,19920127,2955,2960,2930,2940,257100
SZ000001,19920128,2940,2950,2935,2950,233600
SZ000001,19920129,2950,3005,2950,3000,212700
SZ000001,19920130,2995,3035,2995,3020,173500
SZ000001,19920201,3115,3200,3115,3200,222800
SZ000001,19920202,3200,3270,3190,3232,173500
SZ000001,19920210,3230,3250,3090,3160,164400
SZ000001,19920213,3190,3200,3180,3200,181200
SZ000001,19920214,3200,3210,3180,3180,192400
SZ000001,19920218,3120,3125,3070,3100,195500
SZ000001,19920219,3100,3120,3020,3105,194600
SZ000001,19920220,3100,3200,3100,3100,129600
SZ000001,19920221,3180,3190,3160,3165,171000
SZ000001,19920224,3165,3165,3050,3110,140500
SZ000001,19920225,3120,3120,3080,3095,123100
SZ000001,19920226,3100,3100,3005,3055,141900
SZ000001,19920227,3070,3100,3050,3100,203300
SZ000001,19920228,3100,3175,3100,3155,233500
SZ000001,19920302,3170,3200,3160,3170,313700
SZ000001,19920303,3180,3185,3155,3170,315000
SZ000001,19920304,3180,3190,3155,3175,228800
SZ000001,19920305,3170,3200,3165,3195,273300
SZ000001,19920309,3225,3290,3225,3240,351500
SZ000001,19920310,3250,3250,3190,3210,228400
SZ000001,19920311,3200,3220,3200,3215,273800
SZ000001,19920312,3210,3225,3200,3225,261500
SZ000001,19920313,3230,3230,3215,3230,317000
SZ000001,19920316,3245,3290,3235,3280,490100
SZ000001,19920317,3290,3300,3280,3285,310600
SZ000001,19920318,3285,3295,3275,3290,605900
SZ000001,19920319,3290,3290,3260,3260,228600
SZ000001,19920320,3275,3275,3220,3245,256300
SZ000001,19920323,2150,2205,2105,2190,486500
SZ000001,19920324,2200,2210,2185,2210,647600
SZ000001,19920325,2210,2330,2200,2315,665200
SZ000001,19920327,2420,2430,2350,2390,731300
SZ000001,19920330,2390,2520,2380,2490,777200
SZ000001,19920401,2635,2705,2635,2690,796500
SZ000001,19920402,2690,2710,2600,2605,654400
SZ000001,19920403,2620,2620,2530,2595,623300
SZ000001,19920406,2610,2770,2610,2750,645600
SZ000001,19920407,2765,2850,2700,2800,872500
SZ000001,19920408,2815,2990,2815,2895,1315300
SZ000001,19920409,2900,2960,2840,2920,910900
SZ000001,19920410,2935,2980,2900,2960,767700
SZ000001,19920413,2975,3380,2975,3295,740900
SZ000001,19920414,3310,3450,3220,3250,1053200
SZ000001,19920415,3265,3350,3020,3060,831100
SZ000001,19920416,3075,3300,3075,3285,917700
SZ000001,19920417,3300,3310,3190,3200,971400
SZ000001,19920420,3215,3250,3100,3155,599300
SZ000001,19920421,3170,3190,3100,3150,659700
SZ000001,19920422,3165,3310,3150,3280,627600
SZ000001,19920423,3295,3410,3295,3345,852300
SZ000001,19920424,3350,3430,3350,3400,898300
SZ000001,19920427,3415,3490,3350,3380,854600
SZ000001,19920428,3395,3450,3350,3450,962400
SZ000001,19920429,3465,3600,3465,3600,926600
SZ000001,19920430,3615,3870,3615,3850,806100
SZ000001,19920503,3865,4270,3865,4115,844900
SZ000001,19920504,4130,4380,4090,4360,1146200
SZ000001,19920505,4345,4760,4345,4695,1080500
SZ000001,19920506,4710,4855,4550,4600,899900
SZ000001,19920507,4615,4615,4265,4355,1015200
SZ000001,19920508,4370,4410,4200,4260,1072600
SZ000001,19920511,4275,4380,4150,4375,1039000
SZ000001,19920512,4390,4720,4390,4640,796900
SZ000001,19920513,4655,4750,4620,4630,848900
SZ000001,19920514,4645,4645,4490,4545,891200
SZ000001,19920515,4560,4620,4495,4535,862300
SZ000001,19920518,4550,4550,4400,4480,888300
SZ000001,19920519,4495,4655,4470,4645,1068100
SZ000001,19920520,4660,4765,4500,4510,966500
SZ000001,19920521,4525,4525,4360,4500,642600
SZ000001,19920522,4515,4525,4420,4440,618000
SZ000001,19920525,4455,4550,4430,4545,904600
SZ000001,19920526,4560,4660,4560,4650,840900
SZ000001,19920527,4665,4720,4590,4600,942400
SZ000001,19920528,4600,4600,4500,4545,708800
SZ000001,19920529,4560,4560,4420,4520,722100
SZ000001,19920601,4535,4660,4535,4595,925800
SZ000001,19920602,4610,4610,4425,4490,797600
SZ000001,19920603,4505,4505,4200,4215,531100
SZ000001,19920604,4230,4230,3868,4130,958000
SZ000001,19920605,4145,4280,4140,4190,970800
SZ000001,19920608,4205,4205,3985,4150,738200
SZ000001,19920609,4165,4165,3950,3985,477900
SZ000001,19920610,3980,3990,3840,3921,623700
SZ000001,19920611,3905,3920,3850,3880,487300
SZ000001,19920612,3895,3900,3790,3850,670000
SZ000001,19920616,3615,3620,3325,3360,767500
SZ000001,19920617,3345,3715,3230,3690,876100
SZ000001,19920618,3675,3830,3590,3630,1146400
SZ000001,19920619,3645,3650,3500,3620,667300
SZ000001,19920622,3605,3605,3400,3425,736500
SZ000001,19920623,3435,3580,3380,3520,617100
SZ000001,19920624,3505,3505,3420,3505,588500
SZ000001,19920625,3515,3600,3500,3600,480100
SZ000001,19920626,3600,3760,3600,3710,778900
SZ000001,19920629,3725,4000,3725,3980,989000
SZ000001,19920630,3995,4200,3995,4200,1047400
SZ000001,19920701,4215,4285,4030,4045,1246700
SZ000001,19920702,4030,4080,3935,4020,1230300
SZ000001,19920703,4005,4100,4000,4095,1005300
SZ000001,19920706,4110,4260,4000,4080,1251600
SZ000001,19920707,4095,4100,3970,4070,730500
SZ000001,19920708,4085,4100,4030,4080,447100
SZ000001,19920709,4065,4065,3980,3985,817100
SZ000001,19920710,3980,3980,3910,3960,707300
SZ000001,19920713,3945,4050,3920,4030,884400
SZ000001,19920714,4045,4120,4045,4095,731600
SZ000001,19920716,4065,4170,4065,4170,564300
SZ000001,19920717,4185,4240,4180,4230,957000
SZ000001,19920720,4245,4500,4245,4490,881200
SZ000001,19920721,4500,4550,4440,4460,1098100
SZ000001,19920722,4450,4480,4400,4465,978700
SZ000001,19920723,4450,4550,4450,4550,943800
SZ000001,19920724,4535,4600,4520,4585,1098300
SZ000001,19920729,4575,4620,4540,4590,700800
SZ000001,19920730,4600,4630,4580,4630,685600
SZ000001,19920731,4645,4650,4560,4560,562200
SZ000001,19920803,4560,4660,4280,4290,681600
SZ000001,19920804,4275,4470,4200,4420,855500
SZ000001,19920805,4435,4500,4330,4475,503000
SZ000001,19920806,4460,4460,4370,4410,405000
SZ000001,19920807,4400,4510,4360,4500,663600
SZ000001,19920810,4515,4650,4515,4620,460900
SZ000001,19920811,4630,4630,4235,4375,142000
SZ000001,19920812,4390,4480,4380,4390,920400
SZ000001,19920813,4400,4400,4195,4240,999800
SZ000001,19920814,4225,4380,4165,4370,1119300
SZ000001,19920817,4385,4535,4385,4400,1019400
SZ000001,19920818,4400,4400,4295,4330,741300
SZ000001,19920819,4315,4400,4315,4365,334700
SZ000001,19920820,4350,4400,4340,4375,431400
SZ000001,19920821,4370,4375,4290,4305,586000
SZ000001,19920824,4290,4290,4180,4240,462300
SZ000001,19920825,4225,4225,4070,4080,508100
SZ000001,19920826,4065,4190,4030,4160,957500
SZ000001,19920827,4175,4260,4120,4180,670300
SZ000001,19920828,4180,4180,4130,4180,366100
SZ000001,19920901,4110,4110,4050,4055,428700
SZ000001,19920902,4050,4055,3880,4000,701100
SZ000001,19920903,4000,4035,3940,4000,539100
SZ000001,19920904,4005,4005,3870,3880,697400
SZ000001,19920907,3865,3865,3700,3720,726100
SZ000001,19920908,3705,3940,3650,3900,1073500
SZ000001,19920909,3915,4160,3915,4155,1138200
SZ000001,19920910,4170,4300,4170,4235,1585400
SZ000001,19920911,4250,4340,4120,4330,1476200
SZ000001,19920914,4345,4440,4200,4220,1359000
SZ000001,19920915,4205,4300,4160,4215,936200
SZ000001,19920916,4200,4350,4150,4275,556000
SZ000001,19920917,4290,4360,4280,4330,797700
SZ000001,19920918,4330,4350,4240,4260,577100
SZ000001,19920921,4250,4325,4240,4280,343000
SZ000001,19920922,4280,4300,4240,4255,447800
SZ000001,19920923,4270,4330,4270,4305,735600
SZ000001,19920924,4320,4540,4320,4530,2018700
SZ000001,19920925,4545,4620,4510,4530,2395300
SZ000001,19920928,4530,4535,4450,4495,975800
SZ000001,19920929,4500,4500,4470,4500,571400
